Model	Accuracy_tr	Balanced_accuracy_tr	f1_tr	Accuracy_ts	Balanced_accuracy_ts	f1_ts
0	vectorizer1-LogisticRegression	0.929533	0.895021	0.958690	0.835752	0.691591	0.903805
1	vectorizer1-SVM	0.956804	0.914648	0.975040	0.859150	0.599974	0.921509
2	vectorizer1-RandomForest	0.903456	0.941034	0.941194	0.696993	0.657366	0.803390
3	vectorizer2-LogisticRegression	0.962378	0.966572	0.977946	0.868439	0.768055	0.922846
4	vectorizer2-SVM	0.971286	0.971303	0.983257	0.875639	0.677299	0.929734
5	vectorizer2-RandomForest	0.998084	0.998656	0.998895	0.867685	0.550433	0.927932
6	tf-idf-LogisticRegression	0.914703	0.886639	0.949554	0.836856	0.696250	0.904376
7	tf_idf1-LogisticRegression	0.914703	0.886639	0.949554	0.836856	0.696250	0.904376
8	tf_idf1-LogisticRegression-SVM	0.899599	0.939852	0.938677	0.805098	0.621852	0.885913
9	tf_idf1-SVM	0.899599	0.939852	0.938677	0.805098	0.621852	0.885913
10	tf_idf1-RandomForest	0.903605	0.941200	0.941289	0.737866	0.631181	0.837397
11	tf_idf2-LogisticRegression	0.914827	0.926146	0.948890	0.855899	0.786351	0.914082
12	tf_idf2-SVM	0.993655	0.996025	0.996332	0.901939	0.700257	0.945260
